2015-10-07 10:41:53,168 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cybage.selenium:com.udb.test:0.0.1-SNAPSHOT @ D:\UDBAutomationUsingPOM\com.udb.test\pom.xml.
2015-10-07 10:41:53,934 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.udb.test/src/main/java
2015-10-07 10:41:53,934 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.udb.test/src/main/resources
2015-10-07 10:41:53,934 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.udb.test/src/test/java
2015-10-07 10:41:53,934 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.udb.test/src/test/resources
2015-10-07 10:41:54,716 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cybage.selenium:com.udb.test:0.0.1-SNAPSHOT @ D:\UDBAutomationUsingPOM\com.udb.test\pom.xml.
2015-10-07 10:41:54,935 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cybage.selenium:com.udb.test:0.0.1-SNAPSHOT @ D:\UDBAutomationUsingPOM\com.udb.test\pom.xml.
2015-10-07 10:41:55,138 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 10:41:55,154 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 10:41:55,154 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 10:41:55,154 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 10:41:56,201 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cybage.selenium:com.udb.test:0.0.1-SNAPSHOT @ D:\UDBAutomationUsingPOM\com.udb.test\pom.xml.
2015-10-07 10:41:57,233 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 10:41:57,233 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 10:41:57,233 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 10:41:57,233 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-07 10:42:41,902 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cybage.selenium:com.udb.test:0.0.1-SNAPSHOT @ D:\UDBAutomationUsingPOM\com.udb.test\pom.xml.
2015-10-07 10:42:41,918 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 10:42:41,934 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
